Day,Date,Q,Count,Fngs,Pax,Notes,Month,Year
Saturday,11/13/2021,Carnival,10,,"Carnival, BumpHer, Punk, Daft, Blade, Doppler, Repo, Tater, Watts, Boogeyman",,11,2021
Tuesday,11/16/2021,PrinceSS,7,,"PrinceSS, Squid, Blade, Samwise, Old Spice, Carnival, Slice",,11,2021
Thursday,11/18/2021,Samwise,7,,"Samwise, Freighter, Slice, Arson, Carnival, Blade, PrinceSS",,11,2021
Saturday,11/20/2021,Freighter,15,,"Freighter, Slice, Carnival, Blade, Halitosis, Retina, Arson, Samwise, Watts, PrinceSS, Tater, Boogeyman, Huckleberry, Royce, Canuck",,11,2021
Tuesday,11/23/2021,Blade,5,,"Blade, PrinceSS, Zit, Puck, Slice",FNG Zit,11,2021
Thursday,11/25/2021,PrinceSS,4,,"PrinceSS, Old Spice, Blade, Zit",,11,2021
Saturday,11/27/2021,Tater,7,,"Tater, Freighter, Big Sky, PrinceSS, Blade, Halitosis, KingPin (DR)",,11,2021
Tuesday,11/30/2021,PrinceSS,7,,"PrinceSS, Zit, Carnival, Freighter, Slice, Arson, Blade",,11,2021
Thursday,12/2/2021,Samwise,9,,"Samwise, Puck, Zit, Carnival, Paneer, Freighter, PrinceSS, Trauma, Slice",,12,2021
Saturday,12/4/2021,"Freighter, Paneer, Slice",13,,"Freighter, Paneer, Slice, Carnival, Puck, Doppler, Watts, Samwise, Canuck, Gopher, Halitosis, Zit, Huckleberry",,12,2021
Tuesday,12/7/2021,Huckleberry,7,,"Huckleberry, Freighter, Carnival, PrinceSS, Zit, Squid, Crunch",,12,2021
Thursday,12/9/2021,"Squid, PrinceSS",13,,"Squid, PrinceSS, Boogeyman, Red Elephant, Canuck, Paneer, Freighter, Slice, Carnival, BumpHer, Puck, Samwise, Rabbit",,12,2021
Saturday,12/11/2021,Canuck,26,2,"Canuck, Huckleberry, Lilo, Gopher, Zit, Doppler, Flea Fly, Boogeyman, Arson, Tater, Watts, BumpHer, Freighter, Rocketman, Chunks, Halitosis, Slice, PrinceSS, Paneer, Big Sky, Blade, Carnival, Repo, Joanna, Gas Man, Daft",Tater received hatchet due back in August,12,2021
Tuesday,12/14/2021,Samwise,13,,"Samwise, Slice, Freighter, Carnival, Zit, Gas Man, Retina, PrinceSS, Metamucil, Blade, Arson, Repo, Crunch","2 FNG's Joanna, Gas Man",12,2021
Thursday,12/16/2021,Trauma,11,,"Trauma, Slice, Halitosis, Gas Man, Carnival, PrinceSS, Zit, BumpHer, Arson, Freighter, Paneer",,12,2021
Saturday,12/18/2021,Lilo,18,,"Lilo, Tater, Freighter, Huckleberry, Paneer, Canuck, Boogeyman, Scalp, Big Sky, Carnival, PrinceSS, Trauma, Zit, Doppler, Blade, RocketMan, Gas Man, Daft ",200+ Burpees,12,2021
Tuesday,12/21/2021,Slice,12,,"Slice, Freighter, Tater, Metamucil, Flea Fly, BumpHer, Retina, Gas Man, Grout, Blade, Carnival, Watts",,12,2021
Thursday,12/23/2021,"Zit, Freighter",12,,"Zit, Freighter, Blade, Carnival, Grout, Watts, Red Elephant, Roblox (DR), PrinceSS, Trauma, Paneer, Gas Man",,12,2021
Tuesday,12/28/2021,Arson,6,,"Arson, Blade, Freighter, Grout, PrinceSS, Watts",,12,2021
Thursday,12/30/2021,PrinceSS,6,,"PrinceSS, Paneer, Slice, Grout, Blade, Watts",,12,2021
Saturday,1/1/2022,Huckleberry,10,,"Lilo, Tater, Rocketman, Canuck, Hooch, Boo Boo, Blade, PrinceSS, Paneer, Huckleberry",Goose,1,2022
Tuesday,1/4/2022,PrinceSS,10,1,"PrinceSS, Grout, Carnival, Freighter, Blade, Watts, Retina, Slice, Tbone, Gas Man","PrinceSS B-Day Q & 100th post, Tbone (FNG)",1,2022
Thursday,1/6/2022,Paneer,8,,"Paneer, Freighter, Slice, Zit, PrinceSS, Blade, Gas Man, Carnival",,1,2022
Saturday,1/8/2022,Tater,37,4,"Tater, Freighter, Slice, Huckleberry, Retina, Lilo, Blade, Arson, Carnival, Paneer, Canuck, Watts, Hightower, Gavel, Hooch, Gopher, Zit, Big Sky, Boo Boo, BumpHer, Chunks, Flea Fly, Crunch, Doppler, Gas Man, Halitosis, Insider, Laettner, Westside, Mantle, Old Spice, Red Elephant, Repo, Rocketman, Samwise, Squid, XBox","FNG Hightower, Westside, Gavel",1,2022
Tuesday,1/11/2022,PrinceSS,11,,"PrinceSS, Gavel, BumpHer, Gas Man, Freighter, Watts, Tbone, Carnival, Slice, Trauma, Zit, Ditch Witch",FNG Ditch Witch,1,2022
Thursday,1/13/2022,Gopher,16,,"Halitosis, Gopher, Slice, Freighter, Paneer, Retina, Blade, Arson, Trauma, BumpHer, Hooch, Grout, Gas Man, Canuck, Carnival, Gavel",,1,2022
Saturday,1/15/2022,Zit,19,1,"Zit, Arson, Big Sky, Blade, Boogeyman, Canuck, Carnival, Freighter, Gas Man, Gavel, HighTower, Hooch, Huckleberry, Lilo, Paneer, Slice, Tater, Westside, Murse",Murse FNG,1,2022
Tuesday,1/18/2022,Retina,8,,"Retina, Watts, Zit, Carnival, Arson, Slice, Samwise, Freighter",,1,2022
Thursday,1/20/2022,"Watts, Freighter",10,,"Watts, Freighter, Canuck, Carnival, Paneer, Samwise, Gas Man, Metamucil, Arson, Tbone",,1,2022
Saturday,1/22/2022,Carnival,18,3,"Carnival, Freighter, Trauma, Watts, Arson, Slice, Hooch, Gadget, Blade, Gas Man, Mantle, Flatbed, Rocketman, HighTower, Ragged T'Ann, Canuck, Doppler, Samwise",,1,2022
Tuesday,1/25/2022,Samwise,7,,"Samwise, Freighter, Slice, Zit, Gavel, PrinceSS, Carnival",,1,2022
Thursday,1/27/2022,Trauma,12,,"Trauma, PrinceSS, Slice, Paneer, Samwise, Retina, Freighter, Arson, Zit, Boogeyman, Blade, Watts",Trauma B-Day Q,1,2022
Saturday,1/29/2022,Freighter,16,,"Freighter, Paneer, Slice, Boogeyman, Gas Man, Trauma, Carnival, Rocketman, PrinceSS, Blade, Canuck, Zit, Samwise, HighTower, Ragged T'Ann, Watts",Canuck 100th Post,1,2022
Tuesday,2/1/2022,Zit,7,,"Zit, Boogeyman, Carnival, Blade, Samwise, PrinceSS, Seagal",,2,2022
Thursday,2/3/2022,Retina,12,,"Retina, Hooch, Watts, Freighter, Slice, Paneer, Samwise, Carnival, Rocketman, Gas Man, Boogeyman, Blade","Tires, Spear",2,2022
Saturday,2/5/2022,Slice,22,2,"Slice, Carnival, Samwise, Doppler, Watts, Freighter, Paneer, Hooch, Boogeyman, Tater, Hightower, Ragged T'Ann, Stinger (FNG), Lilo, Halitosis, Zit, Pigskin, Revere (FNG), Huckleberry, Rocketman, Blade, Canuck",Stinger (FNG),2,2022
Tuesday,2/8/2022,Retina,8,,"Retina, Canuck, Freighter, Blade, Arson, Stinger, Gas Man, Samwise",,2,2022
Thursday,2/10/2022,Samwise,8,,"Samwise, Freighter, Paneer, Blade, Watts, BumpHer, Gavel, Gas Man",,2,2022
Saturday,2/12/2022,Blade,19,1,"Blade, Watts, Slice, Carnival, Grout, Hooch, Gopher, Retina, Hightower, Zit, Canuck, Ragged T'ann, Lilo, Freighter, Arson, Tater, Rocketman, Stinger, Classified",FNG Classified (Charlie Siko),2,2022
Tuesday,2/15/2022,Arson,10,,"Arson, Blade, Boogeyman, Gas Man, Freighter, Stinger, Slice, Retina, Old Spice, Watts",,2,2022
Thursday,2/17/2022,Zit,11,,"Zit, Arson, Boogeyman, Canuck, Focker, Freighter, Gas Man, Slice, Paneer, Watts, Stinger",,2,2022
Saturday,2/19/2022,Flea Fly,25,,"Slice, Hooch, Gas Man, Stitches, Rocketman, Classified, Hightower, Blade, Old Spice, Samwise, Gavel, Zit, Paneer, Canuck, Huckleberry, Watts, Halitosis, Tater, Grout, Freighter, Norsk, Arson, Stinger, Focker, Flea Fly",,2,2022
Tuesday,2/22/2022,Retina,8,,"Stinger, Zit, Slice, Grout, Blade, Rocketman, Gas Man, Retina",,2,2022
Thursday,2/24/2022,Blade,5,,"Gas Man, Slice, Freighter, Paneer, Blade",,2,2022
Saturday,2/26/2022,"Big Sky, Tater",21,0,"Big Sky, Tater, Paneer, RocketMan, Slice, Blade, Freighter, Carnival, Norsk, Hooch, Watts, Grout, Gas Man, Classified, Stinger, Scalp, Revere, Arson, Hightower, Zit, Canuck",,2,2022
Tuesday,3/1/2022,"Stinger, Blade",12,0,"Stinger, Blade, Canuck, Boogeyman, Rocketman, Zit, Carnival, Slice, Crunch, Watts, Freighter, Retina",,3,2022
Thursday,3/3/2022,Zit,5,0,"Zit, Boogeyman, Grout, Watts, Rocketman",,3,2022
Saturday,3/5/2022,Lilo,24,1,"Lilo, Tater, Slice, HighTower, Doppler, Gopher, Paneer, Watts, Big Sky, Murse, Cycle Bar, Huckleberry, Retina, Zit, Carnival, Seagal, Norsk, Gas Man, Revere, Daft, Rocketman, Chlorine, Daft, Stewie (FNG)",Stewie,3,2022
Tuesday,3/8/2022,Retina,12,,"Retina, Blade, Grout, Tater, Metamucil, Stinger, Seeker, Flea Fly, Focker, Canuck, Hooch, Gas Man",,3,2022
Thursday,3/10/2022,Gas Man,7,,"Gas Man, Blade, Grout, Focker, Zit, Rocketman, Ramsay",,3,2022
Saturday,3/12/2022,Carnival,30,2,"Carnival, Freighter, Doppler, Zit, Canuck, Stinger, Cheapskate (FNG), Slice, Flea Fly, Hooch, Samwise, Hightower, Retina, Classified, Paneer, Focker, Ragged T'ann, Rocketman, Blade, Seeker, Lilo, Huckleberry, Revere, Watts, Norsk, Chunks, EPA, Lawsuit (FNG), Ramsay, Scalp","FNGs Cheapskate, Lawsuit",3,2022
Tuesday,3/15/2022,Wax Off,9,,"Hooch, Zit, Blade, Freighter, Boogeyman, EPA, Flea Fly, Stinger, Wax Off",,3,2022
Thursday,3/17/2022,Zit,9,,"Zit, Blade, Freighter, Paneer, Rocketman, Samwise, Shrink, Slice, Watts",,3,2022
Saturday,3/19/2022,Watts (VQ),25,,"Watts, Grout, Halitosis, Paneer, Freighter, Gas Man, Gopher, Cheapskate, Samwise, Tater, Chunks, Pele, Stinger, Flea Fly, Old Spice, EPA, Doppler, Fabulous, Canuck, Ragged T'Ann, Blade, Huckleberry, Yankee (FNG), Lawsuit, Boogeyman",,3,2022
Tuesday,3/22/22,Crunch,9,,"Crunch, Freighter, PrinceSS, Boogeyman, Retina, Stinger, Samwise, Juice, Paneer",,3,2022
Thursday,3/24/22,Watts,7,,"Watts, Rocketman, Gas Man, Ramsay, Hooch, Samwise, PrinceSS",,3,2022
Saturday,3/26/22,"Gopher, Doppler",16,1,"Gopher, Doppler, Grout, Blade, PrinceSS, Ramsay, Classified, Lawsuit, Hooch, Freighter, Daft, Gas Man, Samwise, Paneer, Scrooge (FNG), Yankee",,3,2022
Tuesday,3/29/22,Freighter,11,,"Freighter, Slice, PrinceSS, Hooch, EPA, Samwise, Arson, Stinger, Zit, Crunch, Boogeyman",,3,2022
Thursday,3/31/22,Retina,9,,"Retina, Stinger, Watts, Boogeyman, Gas Man, Samwise, Slice, Freighter, PrinceSS",,3,2022
Saturday,4/2/22,"Arson, Freighter, Blade",18,3,"Arson, Freighter, Blade, Slice, Lawsuit, Samwise, Hooch, Watts, Classified, PrinceSS, Gas Man, Canuck, Paneer, Yankee, Scrooge, Silo (FNG), Bruin (FNG), Wizard (FNG)",,4,2022
Tuesday,4/5/22,PrinceSS,8,,"PrinceSS, Ramsay, Samwise, Trauma, Freighter, Daft, Zit, Hooch",,4,2022
Thursday,4/7/22,Samwise,8,,"Samwise, Freighter, Focker, Watts, BumpHer, Trauma, Ramsay, Stinger",,4,2022
Saturday,4/9/22,Blade,21,1,"Blade, Boogeyman, Freighter, Daft, Focker, Yankee, Norsk, Seagal, Halitosis, Classified, Scalp, Flea Fly, Retina, Hacksaw (FNG), Canuck, Scrooge, Rocketman, Samwise, Watts, Hooch, Ramsay",FNG Hacksaw,4,2022
Tuesday,4/12/22,Gas Man,12,1,"Gas Man, Flea Fly, Bruno (FNG), Focker, Freighter, Samwise, Watts, Ramsay, Hooch, Slice, Stinger, Red Elephant",,4,2022
Thursday,4/14/22,"Focker, Rocketman",18,1,"Focker, Rocketman, Slice, Bruno, Canuck, Sand Trap, Hooch, Watts, Samwise, Trauma, Red Elephant, Donatello, Zit, Paneer, Ramsay, Freighter, Daft, Blade","Focker CoQ, Donatello FNG",4,2022
Saturday,4/16/22,"Canuck, Freighter",22,,"Canuck, Freighter, Slice, EPA, Ragged T'Ann, Focker, Hacksaw, Doppler, Stinger, BumpHer, Gopher, Lawsuit, Chunks, Flea Fly, Watts, Samwise, Trauma, Red Elephant, Donatello, Paneer, Ramsay, Blade",,4,2022
Tuesday,4/19/22,Zit,11,,"Bruno, Blade, Chitty Chitty, Donatello, Focker, Freighter, Ramsay, Retina, Samwise, Squid, Zit",,4,2022
Thursday,4/21/22,Arson,15,,"Bruno, Donatello, Chitty Chitty, Blade, Focker, Daft, Freighter, Pigeon, Paneer, Samwise, Stinger, Retina, Watts, Wooderson, Arson",,4,2022
Saturday,4/23/22,Slice,8,,"Slice, Retina, Ramsay, Wooderson, Bruno, Donatello, Lawsuit, Scalp",,4,2022
Tuesday,4/26/22,Crunch,10,,"Rocketman, Bruno, Daft, Donatello, Freighter, Watts, Samwise, Gas Man, Crunch, Ramsay",,4,2022
Thursday,4/28/22,Metamucil,9,,"Tater, Donatello, Sand Trap, Hooch, Bruno, Retina, Focker, Blade, Metamucil",,4,2022
Saturday,4/30/22,Halitosis,3,,"Halitosis, Yankee, Lawsuit",Thanks for Halitosis for keeping the flags planted,4,2022
Tuesday,5/3/22,Retina,15,,"Samwise, Watts, Rocketman, Bruno, Blade, Ramsay, Gas Man, Focker, Sand Trap, Freighter, Slice, Donatello, Wooderson, Hooch, Retina",,5,2022
Thursday,5/5/22,Slice,27,,"Slice, Arson, Rocketman, Canuck, Wooderson, Sand Trap, Stinger, Freighter, Paneer, Flea Fly, Doppler, Hooch, Lilo, Gopher, Donatello, Tbone, Huckleberry, Zit, Bruno, Watts, Ramsay, Focker, Norsk, Tater, Trauma, Blade, Pool Boy",,5,2022
Saturday,5/7/22,Focker,18,1,"Focker, Slice, Freighter, Samwise, Bruno, Yankee, Lawsuit, Harry (FNG), Pool Boy, Wooderson, Gas Man, Rocketman, Retina, Blade, Watts, Ramsay, Sand Trap, Donatello ",,5,2022
Tuesday,5/10/22,Hooch,14,,"Hooch, Freighter, Slice, Samwise, Sand Trap, Focker, retina, Wooderson, Stinger, Blade, Rocky, Old Spice, Donatello, Bruno",,5,2022
Thursday,5/12/22,Samwise,13,,"Samwise, Wooderson, Freighter, Paneer, Watts, Squid, Canuck, Stinger, Papa, Focker, Donatello, Bruno, Pigeon",,5,2022
Saturday,5/14/22,Retina,9,,"Retina, Wooderson, Paneer, Samwise, Donatello, Bruno, Lawsuit, Blade, Gas Man",,5,2022
Tuesday,5/17/22,Wooderson,18,2,"Wooderson, Ramsay, Samwise, Bruno, Rocky, Blade, Canuck, Focker, Freighter, Slice, Retina, Stinger, Papa, 88, Zit, Tater, Smelt, Gumby",,5,2022
Thursday,5/19/22,Focker,6,,"Focker, Blade, Watts, Hooch, Retina, Bruno",,5,2022
Saturday,5/21/22,Huckleberry,6,0,"Lilo, Rocketman, Blade, Samwise, Bruno, Huckleberry",,5,2022
Tuesday,5/24/2022,Crunch,10,0,"Crunch, Retina, Hooch, Freighter, Wooderson, Focker, Bruno, Blade, Gas Man, Sand Trap",,5,2022
Thursday,5/26/22,Gopher,18,,"Gopher, Hooch, Gas Man, Tater, Doppler, Arson, Bruno, Donatello, Stinger, Focker, Wooderson, Blade, Rocketman, Retina, Canuck, Watts, Freighter, Metamucil",,5,2022
Saturday,5/28/22,Retina,8,,"Yankee, Donatello, Freighter, Paneer, Rocketman, Wooderson, Sand Trap, Retina",,5,2022
Tuesday,5/31/22,Wooderson,9,,"Wooderson, Focker, Donatello, Bruno, Blade, Rocketman, Red Elephant, Hooch, Retina",,5,2022
Thursday,6/2/22,Gas Man,12,,"Blade, Donatello, Metamucil, Tater, Freighter, Focker, Retina, Ramsay, Red Elephant, Wooderson, Bruno, Gas Man",,6,2022
Saturday,6/4/22,Retina,15,1,"Gas Man, Bruno, Wooderson, Lawsuit, Doppler, Rocketman, Bacon, Blade, Paneer, Donatello, Freighter, Watts, Samwise, Yankee, Retina",,6,2022
Tuesday,6/7/22,Rocketman,7,,"Rocketman, Slice, Retina, Hooch, Watts, Gas Man, Bruno",,6,2022
Thursday,6/9/22,Halitosis,7,,"Stinger, Doppler, Bruno, Donatello, Hooch, Gas Man, Halitosis",,6,2022
Saturday,6/11/22,Sand Trap,9,,"Sand Trap, Donatello, Bruno, Rocketman, Halitosis, Ramsay, Lawsuit, BumpHer, Cortana",,6,2022
Tuesday,6/14/22,Hooch,5,,"Hooch, Ramsay, Wooderson, Donatello, Bruno",,6,2022
Thursday,6/16/2022,Hooch,6,,"Hooch, Freighter, Zit, Donatello, Wooderson, BumpHer",,6,2022
Saturday,6/18/22,Wooderson,12,,"Paneer, Rocketman, Arson, Freighter, Carmen SanDiego, Classified, Blade, Samwise, Gas Man, BumpHer, Scalp, Wooderson",,6,2022
Tuesday,6/21/22,Focker,12,,"Focker, Blade, Bruno, Gopher, Vin Diesel (FNG) Hooch, Sand Trap, Bumpher, Freighter, Arson, Stinger, Donatello",,6,2022
Thursday,6/23/22,Slice,10,,"Slice, Rocketman, Paneer, Bruno, Blade, Retina, Freighter, Bumpher, Stinger, Watts",,6,2022
Saturday,6/25/22,Bumpher,14,1,"Paneer, Freighter, Slice, Blade, Daft, Zit, Rocketman, Halitosis, Retina, Bacon, Wooderson, Sand Trap, Chubbs (FNG), Bumpher",Chubbs FNG,6,2022
Tuesday,6/28/22,Zit,14,2,"Zit, Blade, Canuck, Chubbs, Freighter, Gas Man, Gumby, Hooch, Stinger, Retina, Rocketman, Wooderson, Tacklebox, Clooney",,6,2022
Thursday,6/30/22,Zit,18,1,"Zit, Arson, Bacon, Blade, Bruno, Chubbs, Bumpher, Freighter, Slice, Wooderson, Gas Man, Rocketman, Yardstick, Retina, Hooch, Sand Trap, Stinger, Piggy Bank (FNG)",Piggy Bank (FNG),6,2022
Saturday,7/2/22,"Tater, Wooderson, Blade",35,1,"Tater, Blade, Wooderson, Freighter, Carnival, Hooch, Repo, Bacon, Pool Boy, Escobar, Gas Man, Chubbs, Stitches, Rocketman, Hacksaw, Old Spice, Norsk, Sand Trap, Backslash, Gopher, Slice, Doppler, Daft, Samwise, Chunks, Chlorine, Cortana, Donatello, Yankee, Halitosis, Huckleberry, Stinger, E.M.P., Paneer, Arson",,7,2022
Tuesday,7/5/22,Blade,6,0,"Blade, Rocketman, Hooch, Yardstick, Red Elephant, Donatello",,7,2022
Thursday,7/7/22,Crunch,11,,"Crunch, Freighter, Rocketman, Donatello, Wooderson, Bruno, Daft, Blade, Sand Trap, BumpHer, Yardstick",,7,2022
Saturday,7/9/22,Rocketman,14,,"Rocketman, Donatello, Red Elephant, Wooderson, Chubbs, Arson, Zit, Freighter, Yardstick, Paneer, Blade, Bacon, Slice, Bumpher",,7,2022
Tuesday,7/12/22,Slice,11,,"Slice, Rocketman, Bruno, Retina, Freighter, Hooch, Focker, Donatello, Chubbs, Sand Trap, Blade",,7,2022
Thursday,7/14/22,Fanny Pack,14,,"Fanny Pack, Paneer, Retina, Watts, Focker, Hooch, Chubbs, Bruno, Blade, Wooderson, Yardstick, Freighter, Slice, Rocketman",,7,2022
Saturday,7/16/22,Stitches,11,,"Stitches, Paneer, BumpHer, Retina, Scalp, Yardstick, Lawsuit, Wooderson, Samwise, Gas Man, Tugboat",,7,2022
Tuesday,7/19/22,Gas Man,14,,"Gas Man, Chubbs, Freighter, Wooderson, Sand Trap, Bruno, Squid, BumpHer, Yardstick, Kremlin, Fairweather, Tacklebox, Stinger, Hooch",,7,2022
Thursday,7/21/22,"Chubbs, Zit",15,1,"Chubbs, Zit, Retina, Gumby, Watts, Bruno, Blade, Freighter, Sand Trap, Wooderson, Paneer, Bumpher, Focker, Scalp, Rudy",Rudy (FNG),7,2022
Saturday,7/23/22,Wooderson,7,,"Wooderson, Lawsuit, Halitosis, Donatello, Rudy, Bumpher, Bruno",,7,2022
Tuesday,7/26/22,Zit,6,,"Zit, Retina, Chubbs, Bruno, Flea Fly, Donatello",,7,2022
Thursday,7/28/22,Retina,14,,"Retina, Donatello, Stinger, Paneer, Slice, Rudy, Hooch, Watts, Sand Trap, Chubbs, Bruno, Bumpher, Zit, Grout",,7,2022
Saturday,7/30/22,Samwise,15,1,"Samwise, Tater, Hooch, Watts, Puff (FNG), Paneer, Slice, Bruno, Donatello, Blade, Retina, Kremlin, Grout, Huckleberry, Lawsuit",Puff (FNG),7,2022
Tuesday,8/2/22,Focker,13,,"Chubbs, Hooch, Focker, Gas Man, Freighter, Daft, Bruno, Sand Trap, Kremlin, Grout, Donatello, Yardstick, Squid",,8,2022
Thursday,8/4/22,Lilo,15,1,"Bruno, Watts, Huckleberry, Rudy, Pigeon, Grout, BumpHer, Yardstick, Sand Trap, Hooch, Gas Man, Flo, Lilo, Chubbs, Donatello",Flo (FNG),8,2022
Saturday,8/6/22,Lilo,15,,"Lilo, Bruno, Donatello, Slice, BumpHer, Freighter, Scalp, Samwise, Chubbs, Watts, Daft, Flea Fly, Blade, Gas Man, Rudy",,8,2022
Tuesday,8/9/22,Focker,18,,"Flo, Canuck, Icy Hot, Sand Trap, Slice, Bumpher, Daft, Samwise, Hooch, Gas Man, Ramsay, Stinger, Chubbs, Bruno, Freighter, Wooderson, Focker, Copycat (FNG)",Copycat (FNG),8,2022
Thursday,8/11/22,Sand Trap,15,,"Sand Trap, Hooch, Watts, Daft, Samwise, Grout, Flo, Gas Man, Focker, Freighter, Chubbs, Wooderson, Pigeon, Bruno, Copycat",,8,2022
Saturday,8/13/22,Tater,14,,"Tater, Retina, Doppler, Grout, Bruno, Bypass, Gas Man, Lilo, Watts, Samwise, Kilo, Halitosis, Daft, Chubbs",,8,2022
Tuesday,8/16/22,Watts,15,,"Wooderson, Hooch, Daft, Gas Man, Bruno, Yardstick, Chubbs, Stinger, Stonecold, Huckleberry, Canuck, Freighter, Flo, Puff, Watts",,8,2022
Thursday,8/18/22,Gas Man,15,,"Gas Man, Chubbs, Freighter, Daft, Flo, Stinger, Stonecold, Donatello, Huckleberry, Watts, Peta, Bruno, Rudy, Yardstick, Wooderson",,8,2022
Saturday,8/20/22,"Slice, Flea Fly",6,,"Slice, Flea Fly, Daft, Bacon, Focker, Lawsuit",,8,2022
Tuesday,8/23/22,Rocketman,15,,"Rocketman, Blade, Wooderson, Freighter, Hooch, Slice, Stinger, Gas Man, Kremlin, Daft, Bruno, Napoleon, Retina, Samwise, Chubbs",,8,2022
Thursday,8/25/22,Wooderson,13,,"Wooderson, Napoleon, Rocketman, Hooch, Stinger, Samwise, Donatello, Defrost, Bruno, Rudy, BumpHer, Yardstick, Halitosis",,8,2022
Tuesday,8/30/22,Focker,15,,"Focker, Freighter, Squid, BumpHer, Donatello, Wooderson, Yardstick, Chubbs, Samwise, Defrost, Slice, Rudy, Gas Man, Rocketman, Stonecold",,8,2022
Thursday,9/1/22,Hooch,14,,"Freighter, Focker, Samwise, Canuck, Stinger, Yardstick, Chubbs, Flo, Squid, Napoleon, Rocketman, Gas Man, Cheeks, Hooch",,9,2022
Saturday,9/3/22,Blade,16,,"Blade, Freighter, Gas Man, Retina, Kremlin, Yardstick, Slice, Rocketman, Bumpher, Paneer, Sand trap, Bypass, Focker, Bacon, SweatShop (FNG), Cuckoo (FNG)",,9,2022
Tuesday,9/6/22,Crunch,16,,"Crunch, Freighter, Hooch, Rocketman, Stinger, Squid, Daft, Donatello, Cheeks, Chubbs, Napoleon, Samwise, Kremlin, Bumpher, Stonecold, Yardstick",,9,2022
