"Site Qs: PrinceSS, Blade",,,10.58,107,,,,,,,Gem PAX FNG Dashboard,,,Gem Q Counts,,,Gem Pax Counts (thru 4/16/22),,2896
Saturday,2/19/2022,Flea Fly,25,,"Slice, Hooch, Gas Man, Stitches, Rocketman, Classified, Hightower, Blade, Old Spice, Samwise, Gavel, Zit, Paneer, Canuck, Huckleberry, Watts, Halitosis, Tater, Grout, Freighter, Norsk, Aarson, Stinger, Focker, Flea Fly",,2,2022,,,,,,,,,Fanny Pack,1,
Tuesday,2/22/2022,Retina,8,,"Stinger, Zit, Slice, Grout, Blade, Rocketman, Gas Man, Retina",,2,2022,,,,,,,,,Tugboat,1,
Thursday,2/24/2022,Blade,5,,"Gas Man, Slice, Freighter, Paneer, Blade",,2,2022,,,,,,,,,Fairweather,1,
Saturday,2/26/2022,"Big Sky, Tater",21,0,"Big Sky, Tater, Paneer, Rocket Man, Slice, Blade, Freighter, Carnival, Norsk, Hooch, Watts, Grout, Gas Man, Classified, Stinger, Scalp, Revere, Arson, Hightower, Zit, Canuck",,2,2022,,,,,,,,,Kremlin,4,
Tuesday,3/1/2022,"Stinger, Blade",12,0,"Stinger, Blade, Canuck, Boogeyman, Rocketman, Zit, Carnival, Slice, Crunch, Watts, Freighter, Retina",,3,2022,,,,,,,,,Puff,2,
Thursday,3/3/2022,Zit,5,0,"Zit, Boogeyman, Grout, Watts, Rocketman",,3,2022,,,,,,,,,Rudy,6,
Saturday,3/5/2022,Lilo,24,1,"Lilo, Tater, Slice, High Tower, Doppler, Gopher, Paneer, Watts, Big Sky, Murse, Cycle Bar, Huckleberry, Retina, Zit, Carnival, Seagal, Norsk, Gas Man, Revere, Daft, Rocketman, Chlorine, Daft, Stewie (FNG)",Stewie,3,2022,,,,,,,,,Flo,5,
Tuesday,3/8/2022,Retina,12,,"Retina, Blade, Grout, Tater, Metamucil, Stinger, Seeker, Flea Fly, Focker, Canuck, Hooch, Gas Man",,3,2022,,,,,,,,,Chlorine,2,
Thursday,3/10/22,Gas Man,7,,"Gas Man, Blade, Grout, Focker, Zit, Rocketman, Ramsay",,3,2022,,,,,,,,,Icy Hot,1,
Saturday,3/12/22,Carnival,30,2,"Carnival, Freighter, Doppler, Zit, Canuck, Stinger, Cheapskate (FNG), Slice, Flea Fly, Hooch, Samwise, Hightower, Retina, Classified, Paneer, Focker, Ragged T'ann, Rocketman, Blade, Seeker, Lilo, Huckleberry, Revere, Watts, Norsk, Chunks, EPA, Lawsuit (FNG), Ramsay, Scalp","FNGs Cheapskate, Lawsuit",3,2022,,,,,,,,,Copycat,2,
Tuesday,3/15/22,Wax Off,9,,"Hooch, Zit, Blade, Freighter, Boogeyman, EPA, Flea Fly, Stinger, Wax Off",,3,2022,,,,,,,,,Kilo,1,
Thursday,3/17/22,Zit,9,,"Zit, Blade, Freighter, Paneer, Rocketman, Samwise, Shrink, Slice, Watts",,3,2022,,,,,,,,,Bypass,1,
Saturday,3/19/22,Watts (VQ),25,,"Watts, Grout, Halitosis, Paneer, Freighter, Gas Mas, Gopher, Cheapskate, Samwise, Tater, Chunks, Pele, Stinger, Flea Fly, Old Spice, EPA, Doppler, Fabulous, Canuck, Ragged T'Ann, Blade, Huckleberry, Yankee FNG, Lawsuit, Boogeyman",,3,2022,,,,,,,,,Stonecold,2,
Tuesday,3/22/22,Crunch,9,,"Crunch, Freighter, PrinceSS, Boogeyman, Retina, Stinger, Samwise, Juice, Paneer",,3,2022,,,,,,,,,Peta,1,
Thursday,3/24/22,Watts,7,,"Watts, Rocketman, Gas Man, Ramsay, Hooch, Samwise, PrinceSS",,3,2022,,,,,,,,,Pigeon,5,
Saturday,3/26/22,"Gopher, Doppler",16,1,"Gopher, Doppler, Grout, Blade, PrinceSS, Ramsay, Classified, Lawsuit, Hooch, Freighter, Daft, Gas Man, Samwise, Paneer, Scrooge (FNG), Yankee",,3,2022,,,,,,,,,Napoleon,1,
Tuesday,3/29/22,Freighter,11,,"Freighter, Slice, PrinceSS, Hooch, EPA, Samwise, Arson, Stinger, Zit, Crunch, Boogeyman",,3,2022,,,,,,,,,,,
Thursday,3/31/22,Retina,9,,"Retina, Stinger, Watts, Boogeyman, Gas Man, Samwise, Slice, Freigher, PrinceSS",,3,2022,,,,,,,,,,,
Saturday,4/2/22,"Arson, Freigher, Blade",18,3,"Arson, Freighter, Blade, Slice, Lawsuit, Samwise, Hooch, Watts, Classified, PrinceSS, Gas Man, Canuck, Paneer, Yankee, Scrooge, Silo (FNG), Bruin (FNG), Wizard (FNG)",,4,2022,,,,,,,,,,,
Tuesday,4/5/22,PrinceSS,8,,"PrinceSS, Ramsay, Samwise, Trauma, Freighter, Daft, Zit, Hooch",,4,2022,,,,,,,,,,,
Thursday,4/7/22,Samwise,8,,"Samwise, Freighter, Focker, Watts, BumpHer, Trauma, Ramsay, Stinger",,4,2022,,,,,,,,,,,
Saturday,4/9/22,Blade,21,1,"Blade, Boogeyman, Freighter, Daft, Focker, Yankee, Norsk, Seagal, Halitosis, Classified, Scalp, Flea Fly, Retina, Hacksaw (FNG), Canuck, Scrooge, Rocketman, Samwise, Watts, Hooch, Ramsay",FNG Hacksaw,4,2022,,,,,,,,,,,
Tuesday,4/12/22,Gas Man,12,1,"Gas Man, Flea Fly, Bruno (FNG), Focker, Freighter, Samwise, Watts, Ramsay, Hooch, Slice, Stinger, Red Elephant",,4,2022,,,,,,,,,,,
Thursday,4/14/22,Focker / Rocketman,18,1,"Focker, Rocketman, Slice, Bruno, Canuck, Sand Trap, Hooch, Watts, Samwise, Trauma, Red Elephant, Donatello, Zit, Paneer, Ramsay, Freighter, Daft, Blade","Focker CoQ, Donatello FNG",4,2022,,,,,,,,,,,
Saturday,4/16/22,Canuck / Freighter,22,,"Canuck, Freighter, Slice, EPA, Ragged T'Ann, Focker, Hacksaw, Doppler, Stinger, BumpHer, Gopher, Lawsuit, Chunks, Flea Fly, Watts, Samwise, Trauma, Red Elephant, Donatello, Paneer, Ramsay, Blade",,4,2022,,,,,,,,,,,
Tuesday,4/19/22,Zit,11,,"Bruno, Blade, Chitty Chitty, Donatello, Focker, Freighter, Ramsay, Retina, Samwise, Squid, Zit",,4,2022,,,,,,,,,,,
Thursday,4/21/22,Arson,15,,"Bruno, Donatello, Chitty Chitty, Blade, Focker, Daft, Freighter, Pigeon, Paneer, Samwise, Stinger, Retina, Watts, Wooderson, Arson",,4,2022,,,,,,,,,,,
Saturday,4/23/22,Slice,8,,"Slice, Retina, Ramsay, Wooderson, Bruno, Donatello, Lawsuit, Scalp",,4,2022,,,,,,,,,,,
Tuesday,4/26/22,Crunch,10,,"Rocketman, Bruno, Daft, Donatello, Freighter, Watts, Samwise, Gas Man, Crunch, Ramsay",,4,2022,,,,,,,,,,,
Thursday,4/28/22,Metamucil,9,,"Tater, Donatello, Sand Trap, Hooch, Bruno, Retina, Focker, Blade, Metamucil",,4,2022,,,,,,,,,,,
Saturday,4/30/22,Halitosis,3,,"Halitosis, Yankee, Lawsuit",Thanks for Halitosis for keeping the flags planted,4,2022,,,,,,,,,,,
Tuesday,5/3/22,Retina,15,,"Samwise, Watts, Rocketman, Bruno, Blade, Ramsay, Gas Man, Focker, Sand Trap, Freighter, Slice, Donatello, Wooderson, Hooch, Retina",,5,2022,,,,,,,,,,,
Thursday,5/5/22,Slice,27,,"Slice, Arson, Rocketman, Canuck, Wooderson, Sand Trap, Stinger, Freighter, Paneer, Flea Fly, Doppler, Hooch, Lilo, Gopher, Donatello, Tbone, Huckleberry, Zit, Bruno, Watts, Ramsay, Focker, Norsk, Tater, Trauma, Blade, Pool Boy",,5,2022,,,,,,,,,,,
Saturday,5/7/22,Focker,18,1,"Focker, Slice, Freighter, Samwise, Bruno, Yankee, Lawsuit, Harry (FNG), Pool Boy, Wooderson, Gas Man, Rocketman, Retina, Blade, Watts, Ramsay, Sand Trap, Donatello ",,5,2022,,,,,,,,,,,
Tuesday,5/10/22,Hooch,14,,"Hooch, Freighter, Slice, Samwise, Sand Trap, Focker, retina, Wooderson, Stinger, Blade, Rocky, Old Spice, Donatello, Bruno",,5,2022,,,,,,,,,,,
Thursday,5/12/22,Samwise,13,,"Samwise, Wooderson, Freighter, Paneer, Watts, Squid, Canuck, Stinger, Papa, Focker, Donatello, Bruno, Pigeon",,5,2022,,,,,,,,,,,
Saturday,5/14/22,Retina,9,,"Retina, Wooderson, Paneer, Samwise, Donatello, Bruno, Lawsuit, Blade, Gas Man",,5,2022,,,,,,,,,,,
Tuesday,5/17/22,Wooderson,18,2,"Wooderson, Ramsay, Samwise, Bruno, Rocky, Blade, Canuck, Focker, Freighter, Slice, Retina, Stinger, Papa, 88, Zit, Tater, Smelt, Gumby",,5,2022,,,,,,,,,,,
Thursday,5/19/22,Focker,6,,"Focker, Blade, Watts, Hooch, Retina, Bruno",,5,2022,,,,,,,,,,,
Saturday,5/21/22,Huckleberry,6,0,"Lilo, Rocketman, Blade, Samwise, Bruno, Huckleberry",,5,2022,,,,,,,,,,,
Tuesday,5/24/2022,Crunch,10,0,"Crunch, Retina, Hooch, Freighter, Wooderson, Focker, Bruno, Blade, Gas Man, Sand Trap",,5,2022,,,,,,,,,,,
Thursday,5/26/22,Gopher,18,,"Gopher, Hooch, Gas Man, Tater, Doppler, Arson, Bruno, Donatello, Stinger, Focker, Wooderson, Blade, Rocketman, Retina, Canuck, Watts, Freighter, Metamucil",,5,2022,,,,,,,,,,,
Saturday,5/28/22,Retina,8,,"Yankee, Donatello, Freighter, Paneer, Rocketman, Wooderson, Sand Trap, Retina",,5,2022,,,,,,,,,,,
Tuesday,5/31/22,Wooderson,9,,"Wooderson, Focker, Donatello, Bruno, Blade, Rocketman, Red Elephant, Hooch, Retina",,5,2022,,,,,,,,,,,
Thursday,6/2/22,Gas Man,12,,"Blade, Donatello, Metamucil, Tater, Freighter, Focker, Retina, Ramsay, Red Elephant, Wooderson, Bruno, Gas Man",,6,2022,,,,,,,,,,,
Saturday,6/4/22,Retina,15,1,"Gas Man, Bruno, Wooderson, Lawsuit, Doppler, Rocketman, Bacon, Blade, Paneer, Donatello, Freighter, Watts, Samwise, Yankee, Retina",,6,2022,,,,,,,,,,,
Tuesday,6/7/22,Rocketman,7,,"Rocketman, Slice, Retina, Hooch, Watts, Gas Man, Bruno",,6,2022,,,,,,,,,,,
Thursday,6/9/22,Halitosis,7,,"Stinger, Doppler, Bruno, Donatello, Hooch, Gas Man, Halitosis",,6,2022,,,,,,,,,,,
Saturday,6/11/22,Sand Trap,9,,"Sand Trap, Donatello, Bruno, Rocketman, Halitosis, Ramsay, Lawsuit, BumpHer, Cortana",,6,2022,,,,,,,,,,,
Tuesday,6/14/22,Hooch,5,,"Hooch, Ramsay, Wooderson, Donatello, Bruno",,6,2022,,,,,,,,,,,
Thursday,6/16/2022,Hooch,6,,"Hooch, Freighter, Zit, Donatello, Wooderson, BumpHer",,6,2022,,,,,,,,,,,
Saturday,6/18/22,Wooderson,12,,"Paneer, Rocketman, Arson, Freighter, Carmen SanDiego, Classified, Blade, Samwise, Gas Man, BumpHer, Scalp, Wooderson",,6,2022,,,,,,,,,,,
Tuesday,6/21/22,Focker,12,,"Focker, Blade, Bruno, Gopher, Vin Diesel (FNG) Hooch, Sand Trap, Bumpher, Freighter, Arson, Stinger, Donatello",,6,2022,,,,,,,,,,,
Thursday,6/23/22,Slice,10,,"Slice, Rocketman, Paneer, Bruno, Blade, Retina, Freighter, Bumpher, Stinger, Watts",,6,2022,,,,,,,,,,,
Saturday,6/25/22,Bumpher,14,1,"Paneer, Freighter, Slice, Blade, Daft, Zit, Rocketman, Halitosis, Retina, Bacon, Wooderson, Sand Trap, Chubbs (FNG), Bumpher",Chubbs FNG,6,2022,,,,,,,,,,,
Tuesday,6/28/22,Zit,14,2,"Zit, Blade, Canuck, Chubbs, Freighter, Gas Man, Gumby, Hooch, Stinger, Retina, Rocketman, Wooderson, Tacklebox, Clooney",,6,2022,,,,,,,,,,,
Thursday,6/30/22,Zit,18,1,"Zit, Arson, Bacon, Blade, Bruno, Chubbs, Bumpher, Freighter, Slice, Wooderson, Gas Man, Rocketman, Yardstick, Retina, Hooch, Sand Trap, Stinger, Piggy Bank (FNG)",Piggy Bank (FNG),6,2022,,,,,,,,,,,
Saturday,7/2/22,"Tater, Wooderson, Blade",35,1,"Tater, Blade, Wooderson, Freighter, Carnival, Hooch, Repo, Bacon, Pool Boy, Escobar, Gas Man, Chubbs, Stitches, Rocketman, Hacksaw, Old Spice, Norsk, Sand Trap, Backslash, Gopher, Slice, Doppler, Daft, Samwise, Chunks, Chlorine, Cortana, Donatello, Yankee, Halitosis, Huckleberry, Stinger, E.M.P., Paneer, Arson",,7,2022,,,,,,,,,,,
Tuesday,7/5/22,Blade,6,0,"Blade, Rocketman, Hooch, Yardstick, Red Elephant, Donatello",,7,2022,,,,,,,,,,,
Thursday,7/7/22,Crunch,11,,"Crunch, Freighter, Rocketman, Donatello, Wooderson, Bruno, Daft, Blade, Sand Trap, BumpHer, Yardstick",,7,2022,,,,,,,,,,,
Saturday,7/9/22,Rocketman,14,,"Rocketman, Donatello, Red Elephant, Wooderson, Chubbs, Arson, Zit, Freighter, Yardstick, Paneer, Blade, Bacon, Slice, Bumpher",,7,2022,,,,,,,,,,,
Tuesday,7/12/22,Slice,11,,"Slice, Rocketman, Bruno, Retina, Freighter, Hooch, Focker, Donatello, Chubbs, Sand Trap, Blade",,7,2022,,,,,,,,,,,
Thursday,7/14/22,Fanny Pack,14,,"Fanny Pack, Paneer, Retina, Watts, Focker, Hooch, Chubbs, Bruno, Blade, Wooderson, Yardstick, Freighter, Slice, Rocketman",,7,2022,,,,,,,,,,,
Saturday,7/16/22,Stitches,11,,"Stitches, Paneer, BumpHer, Retina, Scalp, Yardstick, Lawsuit, Wooderson, Samwise, Gas Man, Tugboat",,7,2022,,,,,,,,,,,
Tuesday,7/19/22,Gas Man,14,,"Gas Man, Chubbs, Freighter, Wooderson, Sand Trap, Bruno, Squid, BumpHer, Yardstick, Kremlin, Fairweather, Tacklebox, Stinger, Hooch",,7,2022,,,,,,,,,,,
Thursday,7/21/22,"Chubbs, Zit",15,1,"Chubbs, Zit, Retina, Gumby, Watts, Bruno, Blade, Freighter, Sand Trap, Wooderson, Paneer, Bumpher, Focker, Scalp, Rudy",Rudy (FNG),7,2022,,,,,,,,,,,
Saturday,7/23/22,Wooderson,7,,"Wooderson, Lawsuit, Halitosis, Donatello, Rudy, Bumpher, Bruno",,7,2022,,,,,,,,,,,
Tuesday,7/26/22,Zit,6,,"Zit, Retina, Chubbs, Bruno, Flea Fly, Donatello",,7,2022,,,,,,,,,,,
Thursday,7/28/22,Retina,14,,"Retina, Donatello, Stinger, Paneer, Slice, Rudy, Hooch, Watts, Sand Trap, Chubbs, Bruno, Bumpher, Zit, Grout",,7,2022,,,,,,,,,,,
Saturday,7/30/22,Samwise,15,1,"Samwise, Tater, Hooch, Watts, Puff (FNG), Paneer, Slice, Bruno, Donatello, Blade, Retina, Kremlin, Grout, Huckleberry, Lawsuit",Puff (FNG),7,2022,,,,,,,,,,,
Tuesday,8/2/22,Focker,13,,"Chubbs, Hooch, Focker, Gas Man, Freighter, Daft, Bruno, Sand Trap, Kremlin, Grout, Donatello, Yardstick, Squid",,8,2022,,,,,,,,,,,
Thursday,8/4/22,Lilo,15,1,"Bruno, Watts, Huckleberry, Rudy, Pigeon, Grout, BumpHer, Yardstick, Sand Trap, Hooch, Gas Man, Flo, Lilo, Chubbs, Donatello",Flo (FNG),8,2022,,,,,,,,,,,
Saturday,8/6/22,Lilo,15,,"Lilo, Bruno, Donatello, Slice, BumpHer, Freighter, Scalp, Samwise, Chubbs, Watts, Daft, Flea Fly, Blade, Gas Man, Rudy",,8,2022,,,,,,,,,,,
Tuesday,8/9/22,Focker,18,,"Flo, Canuck, Icy Hot, Sand Trap, Slice, Bumpher, Daft, Samwise, Hooch, Gas Man, Ramsay, Stinger, Chubbs, Bruno, Freighter, Wooderson, Focker, Copycat (FNG)",Copycat (FNG),8,2022,,,,,,,,,,,
Thursday,8/11/22,Sand Trap,15,,"Sand Trap, Hooch, Watts, Daft, Samwise, Grout, Flo, Gas Man, Focker, Freighter, Chubbs, Wooderson, Pigeon, Bruno, Copycat",,8,2022,,,,,,,,,,,
Saturday,8/13/22,Tater,14,,"Tater, Retina, Doppler, Grout, Bruno, Bypass, Gas Man, Lilo, Watts, Samwise, Kilo, Halitosis, Daft, Chubbs",,8,2022,,,,,,,,,,,
Tuesday,8/16/22,Watts,15,,"Wooderson, Hooch, Daft, Gas Man, Bruno, Yardstick, Chubbs, Stinger, Stonecold, Huckleberry, Canuck, Freighter, Flo, Puff, Watts",,8,2022,,,,,,,,,,,
Thursday,8/18/22,Gas Man,15,,"Gas Man, Chubbs, Freighter, Daft, Flo, Stinger, Stonecold, Donatello, Huckleberry, Watts, Peta, Bruno, Rudy, Yardstick, Wooderson",,8,2022,,,,,,,,,,,
Saturday,8/20/22,Slice / Flea Fly,6,,"Slice, Flea Fly, Daft, Bacon, Focker, Lawsuit",,8,2022,,,,,,,,,,,
Tuesday,8/23/22,Rocketman,15,,"Rocketman, Blade, Wooderson, Freighter, Hooch, Slice, Stinger, Gas Man, Kremlin, Daft, Bruno, Napoleon, Retina, Samwise, Chubbs",,8,2022,,,,,,,,,,,
Thursday,8/25/22,,,,,,8,2022,,,,,,,,,,,
Saturday,8/27/22,,,,,,8,2022,,,,,,,,,,,
Tuesday,8/30/22,,,,,2896,8,2022,,,,,,,,,,,
Thursday,9/1/22,,,,,,9,2022,,,,,,,,,,,
Saturday,9/3/22,,,,,,9,2022,,,,,,,,,,,
Tuesday,9/6/22,,,,,,9,2022,,,,,,,,,,,
Thursday,9/8/22,,,,,,9,2022,,,,,,,,,,,
Saturday,9/10/22,,,,,,9,2022,,,,,,,,,,,
Tuesday,9/13/22,,,,,,9,2022,,,,,,,,,,,
Thursday,9/15/22,,,,,,9,2022,,,,,,,,,,,
Saturday,9/17/22,,,,,,9,2022,,,,,,,,,,,
Tuesday,9/20/22,,,,,,9,2022,,,,,,,,,,,
Thursday,9/22/22,,,,,,9,2022,,,,,,,,,,,
Saturday,9/24/22,,,,,,9,2022,,,,,,,,,,,
Tuesday,9/27/22,,,,,,9,2022,,,,,,,,,,,
Thursday,9/29/22,,,,,,9,2022,,,,,,,,,,,
Saturday,10/1/22,,,,,,10,2022,,,,,,,,,,,
Tuesday,10/4/22,,,,,,10,2022,,,,,,,,,,,
Thursday,10/6/22,,,,,,10,2022,,,,,,,,,,,
Saturday,10/8/22,,,,,,10,2022,,,,,,,,,,,
Tuesday,10/11/22,,,,,,10,2022,,,,,,,,,,,
Thursday,10/13/22,,,,,,10,2022,,,,,,,,,,,
Saturday,10/15/22,,,,,,10,2022,,,,,,,,,,,
Tuesday,10/18/22,,,,,,10,2022,,,,,,,,,,,
Thursday,10/20/22,,,,,,10,2022,,,,,,,,,,,
Saturday,10/22/22,,,,,,10,2022,,,,,,,,,,,
Tuesday,10/25/22,,,,,,10,2022,,,,,,,,,,,
Thursday,10/27/22,,,,,,10,2022,,,,,,,,,,,
Saturday,10/29/22,,,,,,10,2022,,,,,,,,,,,
Tuesday,11/1/22,,,,,,11,2022,,,,,,,,,,,
Thursday,11/3/22,,,,,,11,2022,,,,,,,,,,,
Saturday,11/5/22,,,,,,11,2022,,,,,,,,,,,
Tuesday,11/8/22,,,,,,11,2022,,,,,,,,,,,
Thursday,11/10/22,,,,,,11,2022,,,,,,,,,,,
Saturday,11/12/22,,,,,,11,2022,,,,,,,,,,,
Tuesday,11/15/22,,,,,,11,2022,,,,,,,,,,,
Thursday,11/17/22,,,,,,11,2022,,,,,,,,,,,
Saturday,11/19/22,,,,,,11,2022,,,,,,,,,,,
Tuesday,11/22/22,,,,,,11,2022,,,,,,,,,,,
Thursday,11/24/22,,,,,,11,2022,,,,,,,,,,,
Saturday,11/26/22,,,,,,11,2022,,,,,,,,,,,
Tuesday,11/29/22,,,,,,11,2022,,,,,,,,,,,
Thursday,12/1/22,,,,,,12,2022,,,,,,,,,,,
Saturday,12/3/22,,,,,,12,2022,,,,,,,,,,,
Tuesday,12/6/22,,,,,,12,2022,,,,,,,,,,,
Thursday,12/8/22,,,,,,12,2022,,,,,,,,,,,
Saturday,12/10/22,,,,,,12,2022,,,,,,,,,,,
Tuesday,12/13/22,,,,,,12,2022,,,,,,,,,,,
Thursday,12/15/22,,,,,,12,2022,,,,,,,,,,,
Saturday,12/17/22,,,,,,12,2022,,,,,,,,,,,
Tuesday,12/20/22,,,,,,12,2022,,,,,,,,,,,
Thursday,12/22/22,,,,,,12,2022,,,,,,,,,,,
Saturday,12/24/22,,,,,,12,2022,,,,,,,,,,,
Tuesday,12/27/22,,,,,,12,2022,,,,,,,,,,,
Thursday,12/29/22,,,,,,12,2022,,,,,,,,,,,
Saturday,12/31/22,,,,,,12,2022,,,,,,,,,,,