Site Q:,Carnival,,7.52,7,,,,,,,AO PAX FNG Dashboard,,,Q Counts,,,Iron Mountain Pax Counts,,
Day,Date,Q ,Count,FNGs,Pax,Notes,Month,Year,,#,Iron Mountain PAX,Sponsor,,Name,Q Count,,Name,Post Count,374
Saturday,4/30/2022,"Big Sky, Hightower, Carnival",37,2,"Rocketman Norsk Gas Man Hooch Zit Stinger Bruno Doppler Freighter Slice Trauma Carnival Chunks Cheapskate Donatello Samwise Sand Trap Ramsay Big Sky Hightower Flea Fly Cortana Watts Escobar Classified Canuck Gopher Blade Revere Tater Norsk Huckleberry, Jaws, Pool Boy, Chlorine, Murse","Double check these numbers, missing FNGS",4,2022,,1,Jaws,Huckleberry,,Big Sky,9,,Hightower,45,
Tuesday,5/3/2022,Big Sky,5,,"Big Sky, Pool Boy, Hightower, Cheapskate, Revere",,5,2022,,2,Pool Boy,Canuck,,Crunch,11,,Escobar,27,
Thursday,5/5/2022,Crunch,9,,"Crunch, Hightower, Big Sky, Chlorine, Cheapskate, Telecaster, Carnival, Revere, Gas Man",,5,2022,,3,Flipper,Escobar,,Hightower,7,,Revere,30,
Saturday,5/7/2022,Hightower,7,,"Hightower, Telecaster, Cheapskate, Stitches, Carnival, Chlorine, Escobar",,5,2022,,4,Sapphire,Carnival,,Cheapskate,5,,Carnival,35,
Tuesday,5/10/2022,"Rocketman, Cheapskate",7,,"Rocketman, Cheapskate, Escobar, Murse, Revere, Hightower, Chlorine",Rocketman's 100th Post,5,2022,,5,Escobar,Sapphire,,Carnival,6,,Cheapskate,28,
Thursday,5/12/2022,Crunch,8,,"Crunch, Carnival, Hightower, Revere, Cheapskate, Telecaster, Chlorine, Escobar",,5,2022,,6,So So,,,Chlorine,3,,Chlorine,23,
Saturday,5/14/2022,"Chlorine, Big Sky",6,,"Chlorine, Big Sky, Hightower, Carnival, Murse, Escobar",,5,2022,,7,Preacher Man,,,Revere,3,,Big Sky,26,
Tuesday,5/17/2022,Crunch,6,,"Crunch, Big Sky, Hightower, Revere, Cheapskate, Escobar",,5,2022,,8,Sinco,,,Rocketman,1,,Pool Boy,23,
Thursday,5/19/2022,Revere,6,,"Revere, Carnival, Pool Boy, Hightower, Telecaster, Freighter",,5,2022,,9,747,Squid,,Escobar,4,,Telecaster,22,
Saturday,5/21/2022,Cheapskate,6,,"Cheapskate, Hightower, Halitosis, Escobar, Carnival, Gas Man",,5,2022,,10,Clover,,,Tater,1,,Murse,8,
Tuesday,5/24/2022,Hightower,7,,"Hightower, Pool Boy, Murse, Rocketman, Cheapskate, Escobar, Revere",,5,2022,,11,,,,Telecaster,2,,Crunch,15,
Thursday,5/26/2022,Big Sky,7,,"Big Sky, Carnival, Hightower, Cheapskate, Pool Boy, Murse, Escobar",,5,2022,,12,,,,Pool Boy,2,,Rocketman,4,
Saturday,5/28/2022,Carnival,11,,"Carnival, Stitches, Flipper (FNG), Escobar, Telecaster, Big Sky, Hightower, Chlorine, Revere, Pool Boy, Crunch",,5,2022,,13,,,,,0,,Gas Man,5,
Tuesday,5/31/2022,Crunch,9,,"Bugle, Carnival, Escobar, Chlorine, Pool Boy, Cheapskate, Hightower, Murse, Crunch",,5,2022,,14,,,,,0,,Freighter,5,
Thursday,6/2/2022,Cheapskate,5,,"Cheapskate, Murse, Big Sky, Carnival, HighTower",,6,2022,,15,,,,,0,,Slice,5,
Saturday,6/4/2022,"Carnival, Escobar",7,0,"Carnival, Escobar, Big Sky, Cheapskate, Chlorine, Flipper, Revere",,6,2022,,16,,,,,0,,Tater,2,
Tuesday,6/7/2022,Cheapskate,7,,"Carnival, Telecaster, Escobar, Hightower, Chlorine, Revere, Cheapskate",,6,2022,,17,,,,,0,,Flea Fly,1,
Thursday,6/9/2022,Crunch,6,,"Chlorine, Escobar, Pool Boy, Telecaster, Hightower, Crunch",,6,2022,,18,,,,,0,,Cortana,1,
Saturday,6/11/2022,Big Sky,6,1,"Big Sky, Cheapskate, Pool Boy, Escobar, Chlorine, So So (FNG)",So So (FNG),6,2022,,19,,,,,0,,Watts,1,
Tuesday,6/14/2022,Chlorine,6,,"Chlorine, Big Sky, Hightower, Cheapskate, Revere, Pool Boy",,6,2022,,20,,,,,0,,Classified,1,
Thursday,6/16/2022,Hightower,6,,"Hightower, Big Sky, Rocketman, Revere, Escobar, Carnival",,6,2022,,21,,,,,0,,Canuck,1,
Saturday,6/18/2022,Escobar,12,2,"Escobar, Carnival, Cheapskate, Crunch, Flipper, HighTower, Revere, Sapphire, Stitches, Zit, Preacher Man, Sinko","Preacher Man (FNG), Sinko (FNG)",6,2022,,22,,,,,0,,Stinger,1,
Tuesday,6/21/2022,Crunch,7,0,"Hightower, Escobar, Big Sky, Revere, Pool Boy, Cheapskate, Crunch",,6,2022,,23,,,,,0,,Gopher,1,
Thursday,6/23/2022,Revere,5,0,"Telecaster, Hightower, Escobar, Carnival, Revere",,6,2022,,24,,,,,0,,Huckleberry,2,
Saturday,6/25/2022,Tater,5,0,"Tater, Huckleberry, Hightower, Norsk, Sinko",,6,2022,,25,,,,,0,,Blade,3,
Tuesday,6/28/2022,Big Sky,9,0,"Big Sky, Pool Boy, Escobar, Chlorine, Slice, Carnival, Telecaster, Revere, Hightower",,6,2022,,26,,,,,,,Norsk,2,
Thursday,6/30/2022,Crunch,7,0,"Crunch, Carnival, Escobar, Revere, Telecaster, Chlorine, Hightower",,6,2022,,27,,,,,,,Hooch,1,
Saturday,7/2/2022,,,,CLOSED,,7,2022,,28,,,,,,,Zit,4,
Tuesday,7/5/2022,Paneer,2,0,"Paneer, Carnival",,7,2022,,29,,,,,,,Bruno,1,
Thursday,7/7/2022,Escobar,5,,"Escobar, Big Sky, HighTower, Pool Boy, Telecaster",,7,2022,,30,,,,,,,Doppler,1,
Saturday,7/9/2022,Big Sky,6,,"Big Sky, Revere, Hightower, Telecaster, Pool Boy, Sinko",,7,2022,,31,,,,,54,,Trauma,1,
Tuesday,7/12/2022,Crunch,7,,"Crunch, Murse, Hightower, Revere, Big Sky, Pool Boy, Chlorine",,7,2022,,32,,,,,,,Chunks,1,
Thursday,7/14/2022,Hightower,3,,"Hightower, Pool Boy, Telecaster",,7,2022,,33,,,,,,,Donatello,1,
Saturday,7/16/2022,Carnival,7,,"Carnival, Zit, Sinko, Crunch, Chlorine, HighTower, Blade",,7,2022,,34,,,,,,,Samwise,2,
Tuesday,7/19/2022,Crunch,7,1,"Crunch, Carnival, Cheapskate, Hightower, Telecaster, Sinko, 747 (FNG)",747 (FNG),7,2022,,35,,,,,,,Sand Trap,1,
Thursday,7/21/2022,"Telecaster, Hightower",7,,"Telecaster, Hightower, Carnival, Sinko, Escobar, Cheapskate, Gas Man",,7,2022,,36,,,,,,,Ramsay,2,
Saturday,7/23/2022,Carnival,14,1,"Carnival, Sinko, HighTower, Telecaster, Pool Boy, Samwise, Revere, Ramsay, Blade, Clover (FNG) Retina, Freighter, Paneer, Zit",Clover FNG,7,2022,,37,,,,,,,Jaws,1,
Tuesday,7/26/2022,Big Sky,9,,"Big Sky, Pool Boy, Cheapskate, Sinko, HighTower, Chlorine, Revere, Carnival, Telecaster",,7,2022,,38,,,,,,,Stitches,4,
Thursday,7/28/2022,Cheapskate,7,0,"Cheapskate, Flipper, Hightower, Carnival, Big Sky, Sinko, Telecaster",,7,2022,,39,,,,,,,Halitosis,1,
Saturday,7/30/2022,Escobar,7,0,"Carnival, Cheapskate, Escobar, Flipper, Hightower, Revere, Sinko",,7,2022,,40,,,,,,,Paneer,3,
Tuesday,8/2/2022,Crunch,8,0,"Sinko, Hightower, Big Sky, Flipper, Revere, Chlorine, Telecaster, Crunch",,8,2022,,41,,,,,,,Retina,1,
Thursday,8/4/2022,Telecaster,7,,"Telecaster, Hightower, Escobar, Cheapskate, Freighter, Flipper, Revere",,8,2022,,42,,,,,,,Flipper,10,
Saturday,8/6/2022,Revere,6,,"Hightower, Revere, Carnival, Pool Boy, Big Sky, Cheapskate",,8,2022,,43,,,,,,,Bugle,1,
Tuesday,8/9/2022,Chlorine,6,,"Chlorine, Big Sky, Hightower, Revere, Pool Boy, Carnival",,8,2022,,44,,,,,,,So So,1,
Thursday,8/11/2022,Pool Boy,7,,"Pool Boy, Slice, Hightower, Carnival, Chlorine, Flipper, Revere",,8,2022,,45,,,,,,,Sinko,12,
Saturday,8/13/2022,Slice,6,0,"Slice, Carnival, Telecaster, Big Sky, Chlorine, Hightower",,8,2022,,46,,,,,,,Preacher Man,1,
Tuesday,8/16/2022,Hightower,7,,"Sinko, Flipper, Carnival, Cheapskate, Revere, Escobar, Hightower",,8,2022,,47,,,,,,,Sapphire,1,
Thursday,8/18/2022,Crunch,9,,"Crunch, Escobar, Carnival, Cheapskate, Flipper, 747, Telecaster, Big Sky, Hightower",,8,2022,,48,,,,,,,Clover,1,
Saturday,8/20/2022,"Big Sky, Carnival",7,,"Big Sky, Carnival, Chlorine, HighTower, Cheapskate, Stitches, Pool Boy",,8,2022,,49,,,,,,,747,4,
Tuesday,8/23/2022,Cruch,3,,"Crunch, 747, Carnival",,8,2022,,50,,,,,,,Daft,1,
Thursday,8/25/2022,Pool Boy,10,,"Freighter, Carnival, Slice, Big Sky, Daft, Revere, Gas Man, 747, Paneer, Pool Boy",,8,2022,,51,,,,,,,,,
Saturday,8/27/2022,,,,,,8,2022,,52,,,,,,,,,
Tuesday,8/30/2022,,,,,,8,2022,,53,,,,,,,,,
Thursday,9/1/2022,,,,,,9,2022,,54,,,,,,,,,
Saturday,9/3/2022,,,,,,9,2022,,55,,,,,,,,,
Tuesday,9/6/2022,,,,,,9,2022,,56,,,,,,,,,
Thursday,9/8/2022,,,,,374,9,2022,,57,,,,,,,,,
Saturday,9/10/2022,,,,,,9,2022,,58,,,,,,,,,
Tuesday,9/13/2022,,,,,,9,2022,,59,,,,,,,,,
Thursday,9/15/2022,,,,,,9,2022,,60,,,,,,,,,
Saturday,9/17/2022,,,,,,9,2022,,,,,,,,,,,
Tuesday,9/20/2022,,,,,,9,2022,,,,,,,,,,,
Thursday,9/22/2022,,,,,,9,2022,,,,,,,,,,,
Saturday,9/24/2022,,,,,,9,2022,,,,,,,,,,,
Tuesday,9/27/2022,,,,,,9,2022,,,,,,,,,,,
Thursday,9/29/2022,,,,,,9,2022,,,,,,,,,,,
Saturday,10/1/2022,,,,,,10,2022,,,,,,,,,,,
Tuesday,10/4/2022,,,,,,10,2022,,,,,,,,,,,
Thursday,10/6/2022,,,,,,10,2022,,,,,,,,,,,
Saturday,10/8/2022,,,,,,10,2022,,,,,,,,,,,
Tuesday,10/11/2022,,,,,,10,2022,,,,,,,,,,,
Thursday,10/13/2022,,,,,,10,2022,,,,,,,,,,,
Saturday,10/15/2022,,,,,,10,2022,,,,,,,,,,,
Tuesday,10/18/2022,,,,,,10,2022,,,,,,,,,,,
Thursday,10/20/2022,,,,,,10,2022,,,,,,,,,,,
Saturday,10/22/2022,,,,,,10,2022,,,,,,,,,,,
Tuesday,10/25/2022,,,,,,10,2022,,,,,,,,,,,
Thursday,10/27/2022,,,,,,10,2022,,,,,,,,,,,
Saturday,10/29/2022,,,,,,10,2022,,,,,,,,,,,
Tuesday,11/1/2022,,,,,,11,2022,,,,,,,,,,,
Thursday,11/3/2022,,,,,,11,2022,,,,,,,,,,,
Saturday,11/5/2022,,,,,,11,2022,,,,,,,,,,,
Tuesday,11/8/2022,,,,,,11,2022,,,,,,,,,,,
Thursday,11/10/2022,,,,,,11,2022,,,,,,,,,,,
Saturday,11/12/2022,,,,,,11,2022,,,,,,,,,,,
Tuesday,11/15/2022,,,,,,11,2022,,,,,,,,,,,
Thursday,11/17/2022,,,,,,11,2022,,,,,,,,,,,
Saturday,11/19/2022,,,,,,11,2022,,,,,,,,,,,
Tuesday,11/22/2022,,,,,,11,2022,,,,,,,,,,,
Thursday,11/24/2022,,,,,,11,2022,,,,,,,,,,,
Saturday,11/26/2022,,,,,,11,2022,,,,,,,,,,,
Tuesday,11/29/2022,,,,,,11,2022,,,,,,,,,,,
Thursday,12/1/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/3/2022,,,,,,12,2022,,,,,,,,,,,
Tuesday,12/6/2022,,,,,,12,2022,,,,,,,,,,,
Thursday,12/8/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/10/2022,,,,,,12,2022,,,,,,,,,,,
Tuesday,12/13/2022,,,,,,12,2022,,,,,,,,,,,
Thursday,12/15/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/17/2022,,,,,,12,2022,,,,,,,,,,,
Tuesday,12/20/2022,,,,,,12,2022,,,,,,,,,,,
Thursday,12/22/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/24/2022,,,,,,12,2022,,,,,,,,,,,
Tuesday,12/27/2022,,,,,,12,2022,,,,,,,,,,,
Thursday,12/29/2022,,,,,,12,2022,,,,,,,,,,,
Saturday,12/31/2022,,,,,,12,2022,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,
--,,,,,,,12,1899,,,,,,,,,,,