Site Qs: Paneer,,,7.13,9,,,,,,,Friday Ruck PAX FNG Dashboard,,,Friday Ruck Q Counts,,,Friday Ruck Pax Counts (thru 4/15),,,582
Day,Date,Q ,Count,FNGs,PAX,Notes,Month,Year,,#,Ruckership PAX,Sponsor,,Name,Q Count,,Name,Post Count,582,
Friday,4/2/2021,Freighter,6,1,"Freighter, Tater, Slice, Mijo, Daft, Bronco (FNG)",FNG Bronco!,4,2021,,1,Bronco,Freighter,,Freighter,16,,Paneer,58,,
Friday,4/9/2021,Freighter,6,,"Freighter, Tater, Slice, Bronco, Huckleberry, Paneer",,4,2021,,2,Boodle,Shameless,,Paneer,10,,Freighter,55,,
Friday,4/16/2021,Freighter,6,,"Freighter, Tater, Slice, Huckleberry, Mijo, Paneer",,4,2021,,3,Crunch,Canuck,,Slice,11,,Slice,49,,
Friday,4/23/2021,Freighter,9,,"Arson, Daft, Freighter, Mijo, Paneer, Huckleberry, Retina, Slice",,4,2021,,4,Hooch,Doppler,,Tater,7,,Arson,36,,
Friday,4/30/2021,Freighter,6,,"Freighter, Paneer, Tater, Huckleberry, Cycle bar, Arson",,4,2021,,5,Buck,Rabbit,,Huckleberry,7,,Blade,28,,
Friday,5/7/2021,Freighter,7,,"Freighter, Paneer, Slice, Grout, Doughboy, Trauma, Arson",,5,2021,,6,Fletch,Classified,,Carnival,5,,Watts,27,,
Friday,5/14/2021,Freighter,5,,"Freighter, Slice, Paneer, Doughboy, Grout",,5,2021,,7,Deliquent,Huckleberry,,Arson,4,,Tater,20,,
Friday,5/21/2021,Freighter,8,,"Freighter, Slice, Paneer, Grout, Arson, Huckleberry, Tater, Happy Meal DR",,5,2021,,8,,,,Canuck,3,,Carnival,21,,
Friday,5/28/2021,Arson,8,,"Arson, Daft, Freighter, Paneer, Grout, Slice, Tater, Alien",Day 2 Navy Seal Ruck,5,2021,,9,,,,Metamucil,2,,PrinceSS,17,,
Saturday,5/29/2021,Tater,4,,"Tater, Arson, Repo, Quid",Day 3 Evening Ruck,5,2021,,10,,,,Crunch,1,,Huckleberry,17,,
Sunday,5/30/2021,Tater,5,,"Tater, Arson, Slice, Freighter, Paneer",Day 4 10mi Ruck,5,2021,,11,,,,Blade,2,,Grout,14,,
Friday,6/4/2021,Freighter,7,,"Freighter, Slice, Paneer, Arson, Cycle Bar, Trauma, Grout",,6,2021,,12,,,,Rabbit,1,,Canuck,14,,
Friday,6/11/2021,Freighter,6,,"Freighter, Slice, Paneer, Canuck, Arson, Grout",,6,2021,,13,,,,Hooch,4,,Hooch,19,,
Friday,6/18/2021,Slice,4,,"Slice, Freighter, Paneer, Grout",,6,2021,,14,,,,Backslash,1,,Rabbit,10,,
Friday,6/25/2021,Freighter,7,,"Freighter, Slice, Paneer, Sriracha, Grout, Gandhi, Red Elephant",,6,2021,,15,,,,,0,,Trauma,12,,
Friday,7/2/2021,Freighter,5,,"Freighter, Slice, Paneer, Arson, Sriracha ",,7,2021,,16,,,,,0,,Rocketman,16,,
Friday,7/9/2021,Slice,8,,"Slice, Arson, Truama, Markymark (DR), Gandhi, Tater, LOL (DR), Paneer",,7,2021,,17,,,,,0,,Retina,10,,
Friday,7/16/2021,Slice,13,,"Slice, Hombre (R)(DR), Hollywood (R)(DR), Freighter, Metamucil, Paneer, Longhorn, Alien, Sriracha, Slater, Couch Potato, Grout, Arson",,7,2021,,18,,,,,0,,Crunch,9,,
Friday,7/23/2021,Tater,9,1,"Tater, Paneer, Metamucil, Trauma, Canuck, Shameless, Grout, Doughboy, Boodle (FNG)","WOD Comal BD, Boodle FNG!!",7,2021,,19,,,,,0,,Doppler,8,,
Friday,7/30/2021,Freighter,5,,"Freighter, Paneer, Daft, Slater, Carnival",,7,2021,,20,,,,,0,,Daft,8,,
Friday,8/6/2021,Tater,7,,"Tater, Slice, PrinceSS, Paneer, Gandhi, Red Elephant, Sriracha",,8,2021,,21,,,,,,,EPA,7,,
Friday,8/13/2021,Huckleberry,12,1,"Huckleberry, Road Rash, Hannibal (FNG), PrinceSS, Lilo, Trauma, Carnival, Tater, Franc (DR), Slice, Paneer, Freighter",,8,2021,,22,,,,,,,Slater,5,,
Friday,8/20/2021,Slice,2,,"Slice, Carnival",,8,2021,,23,,,,,,,Sriracha,4,,
Friday,8/27/2021,Freighter,5,,"Freighter, Paneer, Carnival, Squid, Slater",,8,2021,,24,,,,,,,Quid,4,,
Friday,9/3/2021,Freighter,9,,"Freighter, Paneer, Carnival, Squid, Slater, Retina, Huckleberry, Blade, Grout",,9,2021,,25,,,,,,,Buck,3,,
Friday,9/10/2021,Slice,4,,"Slice, Paneer, Blade, Carnival",,9,2021,,26,,,,,,,Metamucil,4,,
Friday,9/17/2021,Slice,7,,"Slice, Paneer, Blade, Red Elephant, PrinceSS, Arson",,9,2021,,27,,,,,,,Boogeyman,3,,
Friday,9/24/2021,Carnival,7,,"Carnival, Freighter, Slice, Paneer, Arson, Blade, Old Spice, PrinceSS",,9,2021,,28,,,,,,,Gandhi,3,,
Friday,10/1/2021,Freighter,5,,"Freighter, Slice, Paneer, Carnival, PrinceSS",,10,2021,,29,,,,,,,Red Elephant,3,,
Friday,10/8/2021,Carnival,8,,"Carnival, Slice, Freighter, Paneer, Doppler, PrinceSS, Blade, Boogeyman",,10,2021,,30,,,,,,,Mijo,3,,
Friday,10/15/2021,Carnival,4,,"Carnival, Slice, Paneer, Trauma",,10,2021,,31,,,,,,,Doughboy,3,,
Friday,10/22/2021,Huckleberry,8,,"Huckleberry, Slice, Paneer, Trauma, PrinceSS, Freighter, Shameless, Slater",,10,2021,,32,,,,,,,Shameless,2,,
Friday,10/29/2021,Paneer,7,,"Paneer, Freighter, Slice, Carnival, Blade, Watts, PrinceSS",,10,2021,,33,,,,,,,Cycle bar,2,,
Friday,11/5/2021,Carnival,7,,"Carnival, Rabbit, Watts, Freighter, Paneer, Slice, Trauma",,11,2021,,34,,,,,,,Bronco,2,,
Friday,11/12/2021,Carnival,4,,"Carnival, Blade, Boogeyman, Doppler",,11,2021,,35,,,,,,,Squid,2,,
Friday,11/19/2021,Slice,4,,"Slice, Freighter, Arson, Watts",,11,2021,,36,,,,,,,Lilo,2,,
Wednesday,11/24/2021,Tater,12,,"Tater, Halitosis, Quid, Flea Fly, Doppler, Lilo, Huckleberry, Chunks, Freighter, Boogeyman, Arson, Puck",Ruck to End Hunger,11,2021,,37,,,,,,,Longhorn,2,,
Friday,11/26/2021,Tater,5,,"Tater, Freighter, Blade, Arson, PrinceSS",,11,2021,,38,,,,,,,Puck,2,,
Friday,12/3/2021,Paneer,12,1,"Paneer, Slice, Freighter, Arson, Blade, Puck (R), Watts, Rabbit, PrinceSS, Carnival, Canuck, Crunch (FNG), ",Crunch (FNG),12,2021,,39,,,,,,,Samwise,4,,
Friday,12/10/2021,Arson,14,,"Arson, Canuck, Blade, Carnival, Crunch, Daft, Freighter, Longhorn, Paneer, PrinceSS, Rabbit, Slice, Tater, Watts",Largest Ruck Group EVER!,12,2021,,40,,,,,,,Old Spice,1,,
Friday,12/17/2021,"Crunch , Canuck",8,,"Crunch, Canuck, PrinceSS, Slice, Paneer, Freighter, Watts, Arson",,12,2021,,41,,,,,,,Hannibal,1,,
Friday,12/24/2021,Arson,9,1,"Arson, Blade, Canuck, Doppler, Paneer, PrinceSS, Rabbit, Watts, Hooch (FNG)",,12,2021,,42,,,,,,,Franc (DR),1,,
Friday,12/31/2021,Blade,9,,"Blade, Canuck, Doppler, Freighter, Paneer, Rabbit, Hooch, Watts, PrinceSS",,12,2021,,43,,,,,,,Road Rash,1,,
Friday,1/7/2022,Huckleberry,8,,"Blade, Canuck, Freighter, Paneer, Slice, Arson, Grout, Huckleberry","Goose, Henry",1,2022,,44,,,,,,,Halitosis,2,,
Friday,1/14/2022,Paneer,10,,"Freighter, Blade, Arson, Canuck, BumpHer, Carnival, Hooch, Grout, Crunch, Paneer",,1,2022,,45,,,,,,,Flea Fly,1,,
Friday,1/21/2022,Arson,8,,"Arson, Canuck, , Paneer, Freighter, Rabbit, Crunch, Watts",,1,2022,,46,,,,,,,Chunks,1,,
Friday,1/28/2022,Canuck,12,1,"Canuck, arson,  freighter, slice, rabbit, watts , crunch, buck, princess, paneer, samwise, rocketman",,1,2022,,47,,,,,,,Markymark (DR),1,,
Friday,2/4/2022,Slice,11,,"Slice, Carnival, Samwise, Doppler, Watts, Freighter, Paneer, Gopher, Rocketman, Blade, Canuck",,1,2022,,48,,,,,,,LOL (DR),1,,
Friday,2/11/2022,Metamucil,12,,"Metamucil, Slice, Watts, Arson, Rocketman, Blade, Freighter, Buck, Hooch, Crunch, Rabbit, Tater",,6,2022,,49,,,,,,,Repo,1,,
Friday,2/18/2022,Rabbit,12,,"Rabbit, Retina, Paneer, Watts, Hooch, Blade, Rocketman, Freighter, Slice, Arson, Stitches, Buck",,7,2022,,50,,,,,,,Boodle,1,,
Friday,2/25/2022,Paneer,7,,"Paneer, Blade, Grout, Vinyl, Watts, Slice, Freighter, ",,8,2022,,51,,,,,,,Happy Meal,1,,
Friday,3/4/2022,Huckleberry,9,2,"Huckleberry, Tater, Insider, Classified, Arson, Blade, Trauma, Fletch (FNG), Delinquent (FNG)",,9,2022,,52,,,,,,,Hombre,1,,
Friday,3/11/2022,Paneer,10,,"Paneer, Freighter, Trauma, Norsk, EPA, Huckleberry, Watts, Insider, Arson, Rocketman",,10,2022,,53,,,,,,,Hollywood,1,,
Friday,3/18/2022,Paneer,14,,"Samwise, Rocketman, Splinter, EPA, Retina, Watts, Crunch, Blade, Slice, Freighter, Arson, Norsk, Carnival, Paneer",,11,2022,,54,,,,,,,Couch Potato,1,,
Friday,3/25/2022,Huckleberry,5,,"Huckleberry, Classified, Princess, Hooch, Blade",,12,2022,,55,,,,,,,BumpHer,2,,
Friday,4/1/2022,Slice,9,,"Slice, Carnival, PrinceSS, Hooch, Paneer, Watts, Rocketman, Arson, Freighter",,1,2022,,56,,,,,,,Gopher,3,,
Friday,4/8/2022,Watts,8,,"Watts, Freighter, Crunch, Sand Trap, Blade, Focker, Slice, Trauma",,14,2022,,57,,,,,,,Stitches,2,,
Friday,4/15/2022,Paneer,13,,"Paneer, Slice, Freighter, Watts, EPA, Daft, Blade, Focker, Hooch, Sand Trap, Retina, Rabbit, Rocketman",,15,2022,,58,,,,,,,Classified,4,,
Friday,4/22/2022,Huckleberry,4,,"Huckleberry, Doppler, Bumpher, Slice",,16,2022,,59,,,,,,,Fletch,1,,
Friday,4/29/2022,Tater,15,,"Tater, Watts, Freighter, Canuck, Slice, Doppler, Hooch, Paneer, Gopher, Gas man, Rocketman, Blade, Arson, Norsk, Retina",,17,2022,,60,,,,,,,Delinquent,1,,
Friday,5/6/2022,Paneer,10,,"Paneer, Stinger, Pigeon, Samwise, Focker, Retina, Huckleberry, Freighter, Watts, Trauma",,18,2022,,,,,,,,,Insider,2,,
Friday,5/13/2022,Canuck,6,,"Canuck, Retina, Freighter, Paneer, Hacksaw, Hooch",,19,2022,,,,,,,,,Vinyl,1,,
Friday,5/20/2022,Hooch,7,,"Hooch, Freighter, Paneer, Rocketman, Focker, Classified, Hacksaw",,20,2022,,,,,,,,,Norsk,4,,
Friday,5/27/2022,Metamucil,12,,"Hooch, Tater, Freighter, Paneer, Metamucil, Halitosis, Daft, Arson, Rocketman, Retina, Gopher, Watts",,21,2022,,,,,,,,,Splinter,1,,
Friday,6/3/2022,Huckleberry,5,,"Tater, Pigeon, Norsk, Rocketman, Huckleberry",,22,2022,,,,,,,,,Sand Trap,3,,
Friday,6/10/2022,Hooch,2,,"Hooch, EPA",,23,2022,,,,,,,,,Focker,5,,
Friday,6/17/2022,Classified,6,,"Cortana, Hooch, Huckleberry, Nomad (FNG), Arson, Classified",,24,2022,,,,,,,,,Hacksaw,4,,
Friday,6/24/2022,Blade,9,,"Blade, Rocketman, Retina, Stinger, Pigeon, Sand Trap, Wooderson, Paneer, Watts",,25,2022,,,,,,,,,Stinger,4,,
Friday,7/1/2022,Paneer,9,1,"Paneer, Freighter, Slice, Hooch, Arson, Blade, Carnival, Rocketman, Pysche (FNG)",Pysche FNG,7,2022,,,,,,,,,Pigeon,4,,
Friday,7/8/2022,Slice,7,,"Freighter, Slice, Winger, EPA, Arson, Rocketman, Paneer",,7,2022,,,,,,,,,Gas Man,1,,
Friday,7/15/2022,Slice,10,,"Slice, Fanny Pack, EPA, Paneer, Rocketman, Hooch, Blade, Watts, Chubbs, Stitches",,7,2022,,,,,,,,,Cortana,1,,
Friday,7/22/2022,Hooch,9,,"Hooch, Freighter, Paneer, EPA, Blade, Focker, Wooderson, Watts, Timney",,7,2022,,,,,,,,,Nomad,1,,
Friday,7/29/2022,Paneer,6,,"Paneer, Slice, Trauma, Carnival, Chubbs, Watts",,7,2022,,,,,,,,,Wooderson,2,,
Friday,8/5/2022,Backslash,6,,"Hacksaw, Puff, Daft, Stinger, Hooch, Backslash",,8,2022,,,,,,,,,Pysche,1,,
Friday,8/12/2022,Hooch,2,0,"Hooch, Puff",,8,2022,,,,,,,,,Winger,1,,
Friday,8/19/2022,Timney,9,,"Timney, Puff, Freighter, Backslash, Watts, Hacksaw, Slice, Stinger, Pigeon",,8,2022,,,,,,,,,Fanny Pack,1,,
Friday,8/26/2022,,,,,,8,2022,,,,,,,,,Chubbs,2,,
Friday,9/2/2022,,,,,,9,2022,,,,,,,,,Timney,2,,
Friday,9/9/2022,,,,,,9,2022,,,,,,,,,Backslash,2,,
Friday,9/16/2022,,,,,,9,2022,,,,,,,,,Puff,3,,
Friday,9/23/2022,,,,,582,9,2022,,,,,,,,,Chlorine,0,,
Friday,9/30/2022,,,,,,9,2022,,,,,,,,,,,,
Friday,10/7/2022,,,,,,10,2022,,,,,,,,,,,,
Friday,10/14/2022,,,,,,10,2022,,,,,,,,,,,,
Friday,10/21/2022,,,,,,10,2022,,,,,,,,,,,,
Friday,10/28/2022,,,,,,10,2022,,,,,,,,,,,,
Friday,11/4/2022,,,,,,11,2022,,,,,,,,,,,,
Friday,11/11/2022,,,,,,11,2022,,,,,,,,,,,,
Friday,11/18/2022,,,,,,11,2022,,,,,,,,,,,,
Friday,11/25/2022,,,,,,11,2022,,,,,,,,,,,,
Friday,12/2/2022,,,,,,12,2022,,,,,,,,,,,,
Friday,12/9/2022,,,,,,12,2022,,,,,,,,,,,,
Friday,12/16/2022,,,,,,12,2022,,,,,,,,,,,,
Friday,12/23/2022,,,,,,12,2022,,,,,,,,,,,,
Friday,12/30/2022,,,,,,12,2022,,,,,,,,,,,,
Friday,1/6/2023,,,,,,1,2022,,,,,,,,,,,,
Friday,1/13/2023,,,,,,1,2022,,,,,,,,,,,,
Friday,1/20/2023,,,,,,1,2022,,,,,,,,,,,,
Friday,1/27/2023,,,,,,1,2022,,,,,,,,,,,,
Friday,2/3/2023,,,,,,2,2022,,,,,,,,,,,,
Friday,2/10/2023,,,,,,2,2022,,,,,,,,,,,,
Friday,2/17/2023,,,,,,2,2022,,,,,,,,,,,,
Friday,2/24/2023,,,,,,2,2022,,,,,,,,,,,,
Friday,3/3/2023,,,,,,3,2022,,,,,,,,,,,,
Friday,3/10/2023,,,,,,3,2022,,,,,,,,,,,,
Friday,3/17/2023,,,,,,3,2022,,,,,,,,,,,,
Friday,3/24/2023,,,,,,3,2022,,,,,,,,,,,,
Friday,3/31/2023,,,,,,3,2022,,,,,,,,,,,,
Friday,4/7/2023,,,,,,4,2022,,,,,,,,,,,,
Friday,4/14/2023,,,,,,4,2022,,,,,,,,,,,,
Friday,4/21/2023,,,,,,4,2022,,,,,,,,,,,,
Friday,4/28/2023,,,,,,4,2022,,,,,,,,,,,,
Friday,5/5/2023,,,,,,5,2022,,,,,,,,,,,,
Friday,5/12/2023,,,,,,5,2022,,,,,,,,,,,,
Friday,5/19/2023,,,,,,5,2022,,,,,,,,,,,,
Friday,5/26/2023,,,,,,5,2022,,,,,,,,,,,,
Friday,6/2/2023,,,,,,6,2022,,,,,,,,,,,,
Friday,6/9/2023,,,,,,6,2022,,,,,,,,,,,,
Friday,6/16/2023,,,,,,6,2022,,,,,,,,,,,,
Friday,6/23/2023,,,,,,6,2022,,,,,,,,,,,,
Friday,6/30/2023,,,,,,6,2022,,,,,,,,,,,,
Friday,7/7/2023,,,,,,7,2022,,,,,,,,,,,,
Friday,7/14/2023,,,,,,7,2022,,,,,,,,,,,,
Friday,7/21/2023,,,,,,7,2022,,,,,,,,,,,,
Friday,7/28/2023,,,,,,7,2022,,,,,,,,,,,,
Friday,8/4/2023,,,,,,8,2022,,,,,,,,,,,,
Friday,8/11/2023,,,,,,8,2022,,,,,,,,,,,,
Friday,8/18/2023,,,,,,8,2022,,,,,,,,,,,,
Friday,8/25/2023,,,,,,8,2022,,,,,,,,,,,,
Friday,9/1/2023,,,,,,9,2022,,,,,,,,,,,,
Friday,9/8/2023,,,,,,9,2022,,,,,,,,,,,,
Friday,9/15/2023,,,,,,9,2022,,,,,,,,,,,,
,9/22/2023,,,,,,9,2022,,,,,,,,,,,,
,9/29/2023,,,,,,,,,,,,,,,,,,,
,10/6/2023,,,,,,,,,,,,,,,,,,,
,10/13/2023,,,,,,,,,,,,,,,,,,,
,10/20/2023,,,,,,,,,,,,,,,,,,,
,10/27/2023,,,,,,,,,,,,,,,,,,,
,11/3/2023,,,,,,,,,,,,,,,,,,,
,11/10/2023,,,,,,,,,,,,,,,,,,,
,11/17/2023,,,,,,,,,,,,,,,,,,,
,11/24/2023,,,,,,,,,,,,,,,,,,,
,12/1/2023,,,,,,,,,,,,,,,,,,,
,12/8/2023,,,,,,,,,,,,,,,,,,,
,12/15/2023,,,,,,,,,,,,,,,,,,,
,12/22/2023,,,,,,,,,,,,,,,,,,,
,12/29/2023,,,,,,,,,,,,,,,,,,,
,1/5/2024,,,,,,,,,,,,,,,,,,,
,1/12/2024,,,,,,,,,,,,,,,,,,,
,1/19/2024,,,,,,,,,,,,,,,,,,,
,1/26/2024,,,,,,,,,,,,,,,,,,,
,2/2/2024,,,,,,,,,,,,,,,,,,,
,2/9/2024,,,,,,,,,,,,,,,,,,,
,2/16/2024,,,,,,,,,,,,,,,,,,,
,2/23/2024,,,,,,,,,,,,,,,,,,,
,3/1/2024,,,,,,,,,,,,,,,,,,,
,3/8/2024,,,,,,,,,,,,,,,,,,,
,3/15/2024,,,,,,,,,,,,,,,,,,,
,3/22/2024,,,,,,,,,,,,,,,,,,,
,3/29/2024,,,,,,,,,,,,,,,,,,,
,4/5/2024,,,,,,,,,,,,,,,,,,,
,4/12/2024,,,,,,,,,,,,,,,,,,,
,4/19/2024,,,,,,,,,,,,,,,,,,,
,4/26/2024,,,,,,,,,,,,,,,,,,,
,5/3/2024,,,,,,,,,,,,,,,,,,,
,5/10/2024,,,,,,,,,,,,,,,,,,,
,5/17/2024,,,,,,,,,,,,,,,,,,,
,5/24/2024,,,,,,,,,,,,,,,,,,,
,5/31/2024,,,,,,,,,,,,,,,,,,,
,6/7/2024,,,,,,,,,,,,,,,,,,,
,6/14/2024,,,,,,,,,,,,,,,,,,,
,6/21/2024,,,,,,,,,,,,,,,,,,,
,6/28/2024,,,,,,,,,,,,,,,,,,,
,7/5/2024,,,,,,,,,,,,,,,,,,,
,7/12/2024,,,,,,,,,,,,,,,,,,,
,7/19/2024,,,,,,,,,,,,,,,,,,,
,7/26/2024,,,,,,,,,,,,,,,,,,,
,8/2/2024,,,,,,,,,,,,,,,,,,,
,8/9/2024,,,,,,,,,,,,,,,,,,,
,8/16/2024,,,,,,,,,,,,,,,,,,,
,8/23/2024,,,,,,,,,,,,,,,,,,,
,8/30/2024,,,,,,,,,,,,,,,,,,,
,9/6/2024,,,,,,,,,,,,,,,,,,,
,9/13/2024,,,,,,,,,,,,,,,,,,,
,9/20/2024,,,,,,,,,,,,,,,,,,,
,9/27/2024,,,,,,,,,,,,,,,,,,,
,10/4/2024,,,,,,,,,,,,,,,,,,,
,10/11/2024,,,,,,,,,,,,,,,,,,,
,10/18/2024,,,,,,,,,,,,,,,,,,,
,10/25/2024,,,,,,,,,,,,,,,,,,,
,11/1/2024,,,,,,,,,,,,,,,,,,,
,11/8/2024,,,,,,,,,,,,,,,,,,,
,11/15/2024,,,,,,,,,,,,,,,,,,,